@RELATION TEST1

@ATTRIBUTE mutationId NUMERIC
@ATTRIBUTE elementId NUMERIC
@ATTRIBUTE displayed {0,1}
@ATTRIBUTE height NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE top NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE activatorTop NUMERIC
@ATTRIBUTE activatorLeft NUMERIC
@ATTRIBUTE distanceTop NUMERIC
@ATTRIBUTE distanceLeft NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE numberElements NUMERIC
@ATTRIBUTE elements_per_size NUMERIC
@ATTRIBUTE numberWords NUMERIC
@ATTRIBUTE textNodes NUMERIC
@ATTRIBUTE words_per_textNodes NUMERIC
@ATTRIBUTE table {0,1}
@ATTRIBUTE list {0,1}
@ATTRIBUTE input {0,1}
@ATTRIBUTE widgetName {0,1}
@ATTRIBUTE date {0,1}
@ATTRIBUTE img {0,1}
@ATTRIBUTE proportionNumbers NUMERIC
@ATTRIBUTE links80percent NUMERIC
@ATTRIBUTE Result {0,1}

@DATA
3,1,1,1256,220,97,661,158,442,92,-1,-1,31,0.00145267104029991000,22,11,2,0,0,0,1,0,0,0.0,0,1
187,874,1,500,852,199,522,510,322,342,0,0,190,0.00112062660721448000,6614,344,19.226744186,0,0,0,0,0,1,0.0,0,1
21,217,1,465,999,305,557,708,347,434,0,0,157,0.00051526936772838400,93,93,1,0,0,0,0,0,1,0.0,0,1
153,2,1,98,152,104,159,104,8,26,1,-1,12,0.00075910931174089100,17,17,1,0,0,0,1,0,0,0.0,0,1
175,548,1,286,144,33,1318,0,1388,0,144,0,14,0.00294612794612795000,131,26,5.0384615385,0,1,0,0,0,0,0.0,0,1
56,583,1,486,310,109,1575,70,1623,-13,148,-13,39,0.00115418762947618000,937,68,13.7794117647,0,0,0,0,0,1,0.0,0,1
38,24,1,420,1364,125,270,83,907,-1,741,-1,269,0.00157771260997067000,7655,514,14.8929961089,0,1,0,1,0,1,0.0,0,1
64,112,1,366,221,217,481,227,481,33,221,-33,846,0.01764080321955080000,45064,1546,29.148771022,0,1,0,1,0,1,0.0,0,1
10,199,1,465,999,305,557,367,347,93,0,0,161,0.00052839724970872500,111,111,1,0,0,0,0,0,1,0.0,0,1
17,49,1,1234,220,97,780,189,561,123,-1,-1,28,0.00131208997188379000,22,10,2.2,0,0,0,1,0,0,0.0,0,1
37,24,1,440,1364,125,270,83,790,-1,622,-1,173,0.00101466275659824000,5486,332,16.5240963855,0,1,0,1,0,1,0.0,0,1
21,7,1,937,85,53,1835,19,1848,-10,73,-10,13,0.00288568257491676000,6,6,1,0,0,0,0,0,0,0.0,0,1
1,3,1,226,62,38,416,11,434,-3,54,-3,10,0.00424448217317487000,174,18,9.6666666667,0,0,0,0,0,0,0.0,0,1
180,546,1,500,852,199,522,292,322,124,0,0,174,0.00102625805081747000,6175,315,19.6031746032,0,0,0,0,0,1,0.0,0,1
151,0,1,50,152,128,310,128,159,26,1,-1,4,0.00020559210526315800,5,5,1,0,0,0,1,0,0,0.0,0,1
15,224,1,521,999,305,557,522,347,248,0,0,200,0.00065639409901705000,144,144,1,0,0,0,0,0,1,0.0,0,1
19,0,1,200,972,147,457,111,920,1,622,-1,47,0.00032893815962599000,98,66,1.4848484848,0,1,0,0,0,0,0.0,0,1
11,63,1,237,150,170,781,135,781,0,99,0,10,0.00039215686274509800,30,21,1.4285714286,0,0,0,1,0,0,0.0,0,1
25,2,1,260,680,42,488,0,488,0,82,0,1,0.00003501400560224090,0,0,0,0,0,0,0,0,0,0.0,0,1
48,330,1,525,499,95,258,441,30,369,-12,-12,31,0.00065393945786309500,1350,58,23.275862069,0,0,0,0,0,1,0.0,0,1
135,43,1,134,214,396,900,345,902,1,118,-1,13,0.00015340319078636800,8,4,2,0,1,0,1,0,1,0.0,0,1
32,163,1,172,310,193,576,164,576,0,68,0,64,0.00106969747618252000,69,65,1.0615384615,0,0,0,0,0,0,0.0,0,1
50,378,1,525,499,95,258,487,30,415,-12,-12,40,0.00084379284885560600,1813,74,24.5,0,0,0,0,0,1,0.0,0,1
114,468,1,376,167,190,1037,150,1037,0,121,0,33,0.00104002521273243000,58,34,1.7058823529,0,1,0,1,0,1,0.0,0,1
16,0,1,200,972,147,457,111,531,1,210,-1,48,0.00033593684387335200,99,65,1.5230769231,0,1,0,0,0,0,0.0,0,1
16,216,1,497,999,305,557,553,347,279,0,0,191,0.00062685636456128300,135,135,1,0,0,0,0,0,1,0.0,0,1
47,306,1,525,499,95,258,418,30,346,-12,-12,33,0.00069612910030587500,1465,61,24.0163934426,0,0,0,0,0,1,0.0,0,1
5,3,1,286,120,58,1455,6,1433,7,79,-7,23,0.00330459770114942000,166,26,6.3846153846,0,1,0,0,0,0,0.0,0,1
150,0,1,74,152,128,159,128,8,26,1,-1,20,0.00102796052631579000,24,23,1.0434782609,0,1,0,1,0,0,0.0,0,1
65,924,1,366,727,217,702,250,481,56,0,0,47,0.00029792278095069100,2605,86,30.2906976744,0,1,0,0,0,1,0.0,0,1
0,3,1,312,659,75,442,37,462,2,79,-2,323,0.00653515427415276000,1121,236,4.75,0,1,0,1,0,0,0.0,0,1
12,25,1,1256,220,97,720,282,501,216,-1,-1,31,0.00145267104029991000,14,11,1.2727272727,0,0,0,1,0,0,0.0,0,1
214,192,1,360,755,299,552,448,352,186,0,0,71,0.00031451416421183200,441,124,3.5564516129,0,1,0,0,0,1,0.0,1,1
41,1,1,315,643,99,732,53,732,0,151,0,48,0.00075404118949997700,735,55,13.3636363636,0,1,0,0,0,0,0.0,0,1
